label	name	rawTweet	tweet_id	postTweet	keyN
0	user_0	RT @JGaffneyUSN: If only we were warned.  3 Wives No Dog 1 Impeachment Countless Affairs &amp; Abortions $1Billion in Debt 6 Bankruptcies 3,500…	1334742326099537926	1billion 500 abortions affairs amp bankruptcies countless debt dog impeachment rt warned wives	13
0	user_1	RT @NoahShachtman: NEW: Mike Pence is slinking away from his boss’ election ‘fraud’ train wreck.  “The vice president doesn’t want to go do…	1334742318079938561	boss do doesn election fraud mike new pence president rt slinking the train vice wreck	15
2	user_2	RT @RBReich: Latest count: Biden wins by more than 7 million votes.  Biden 81,267,708  Trump 74,213,015   Biden's margin of victory is the…	1334742432781533185	015 213 267 708 74 81 biden biden biden count latest margin million rt the trump victory votes wins	19
2	user_3	RT @AnaCabrera: JUST IN: In a 4-3 decision, the Wisconsin Supreme Court decided it will not hear a lawsuit filed by Trump seeking to remove…	1334742448686456832	court decided decision filed hear in lawsuit remove rt seeking supreme trump wisconsin	13
2	user_4	RT @AnaCabrera: JUST IN: In a 4-3 decision, the Wisconsin Supreme Court decided it will not hear a lawsuit filed by Trump seeking to remove…	1334741983600971776	court decided decision filed hear in lawsuit remove rt seeking supreme trump wisconsin	13
0	user_5	RT @jacobsoboroff: Trump admin *just* turned over key data which could help locate some of the 628 unreachable parents who were separated f…	1334742870239158278	628 admin data just key locate parents rt separated trump turned unreachable	12
0	user_6	RT @AriBerman: It’s truly insane that Trump lost by 7 million votes nationwide, lost Electoral College 306-232, lost PA/WI/MI by 3x as much…	1334742867915509761	232 306 3x college electoral insane it lost lost lost mi million much nationwide pa rt trump votes wi	19
0	user_7	RT @MattNegrin: WASHINGTON (AP) — America’s ruling party condemns democratic process for 26th straight day after opposition leader won pres…	1334743213417099264	26th america ap condemns day democratic leader opposition party pres process rt ruling straight washington won	16
2	user_8	RT @funder: BREAKING: President-elect Biden will ask the nation to wear masks for his first 100 days in office. This is true leadership. Th…	1334746784397053952	100 biden breaking days elect leadership masks nation office president rt th true wear	14
2	user_9	RT @abc7newsbayarea: The San Jose teen who painted portraits of President-elect Joe Biden and VP-elect Kamala Harris has another reason to…	1334746772409823232	biden elect elect harris joe jose kamala painted portraits president reason rt san teen to vp	16
2	user_10	RT @kaitlancollins: Biden says he doesn’t personally care if Trump comes to his inauguration, but he should to showcase a peaceful transfer…	1334746759269007365	biden care doesn inauguration peaceful personally rt showcase transfer trump	10
1	user_11	RT @ConcedingTrump: Patriots! We need 2,000 quick replies commenting #PerdueSaysBidenWon so we can it trending and shame David Perdue for s…	1334748698002251776	000 commenting david patriots perdue perduesaysbidenwon quick replies rt shame trending	11
0	user_12	RT @Rosenchild: @bopinion 🎁 Marry Christmas and Happy #COVID19  💸 $900 BILLION Stimulus 🚫 NO Stimulus Checks in the NEW Stimulus Bill  Sinc…	1334751363448905728	900 bill billion checks christmas covid19 happy marry rt sinc stimulus stimulus stimulus	13
0	user_9	"RT @maddow: DC Attorney General:   ""Our investigation revealed the [Trump Inaugural] Committee willfully used nonprofit funds to enrich the…"	1334751362240958466	attorney committee dc enrich funds general inaugural investigation nonprofit our revealed rt the trump willfully	15
2	user_13	RT @gregHog1: @AndrewDesiderio @anitakumar01 It just shows Trump, his family &amp; associates is a big crime syndicate. And remember, GOP remai…	1334751362194653184	amp associates big crime family gop remai remember rt shows syndicate trump	12
1	user_14	RT @theangiestanton: Who else is happy that the Democrats are caught RED handed trying to steal the 2020 Presidential election 🙋🏽‍♀️	1334752162367348737	2020 caught democrats election handed happy presidential red rt steal 🙋🏽‍♀️	11
0	user_1	RT @HuffPost: The fundraising figure underscores Trump's fierce grip on the Republican Party, even after his loss to Joe Biden. https://t.c…	1334752377530937347	biden fierce figure fundraising grip joe loss party republican rt trump underscores	12
1	user_15	RT @ReallyAmerican1: #PerdueSaysTrumpWon, and has betrayed MAGA. Help us blanket Trump counties in Georgia with these billboards.https://t.…	1334755551259942913	betrayed billboards blanket counties georgia https maga perduesaystrumpwon rt trump	10
2	user_16	RT @TheDemCoalition: The hilarious viral video showed the @GOP Governor @DougDucey silencing a phone call from @realDonaldTrump as he certi…	1334755679828135938	call certi governor hilarious phone rt showed silencing video viral	10
0	user_17	RT @gDesFaits: ÇA AVANCE : Le gouverneur Brian Kemp appelle à un « audit de signature » après une nouvelle vidéo de surveillance diffusée a…	1334756057986584579	appelle après audit avance brian de de diffusée gouverneur kemp le nouvelle rt signature surveillance une vidéo ça	18
1	user_18	RT @theangiestanton: Who else is happy that the Democrats are caught RED handed trying to steal the 2020 Presidential election 🙋🏽‍♀️	1334757466291232768	2020 caught democrats election handed happy presidential red rt steal 🙋🏽‍♀️	11
2	user_16	RT @Baligubadle1: David Perdue says Joe Biden is the President- elect.   #PerdueSaysBidenWon	1334757804029202434	biden david elect joe perdue perduesaysbidenwon president rt	8
2	user_19	RT @Redistrict: BREAKING: Biden's national popular vote lead just surpassed 7 million (4.5%)...  Biden 81,264,673 (51.3%) Trump 74,210,838…	1334757771976196096	210 264 51 673 74 81 838 biden biden breaking lead million national popular rt surpassed trump vote	18
2	user_20	RT @tedlieu: One of two things is going to happen. Congress will override Trump’s veto. Or we wait until January and reintroduce the same N…	1334759347516108801	congress happen january override reintroduce rt things trump veto wait	10
0	user_21	RT @Teri_Kanefield: Roger Stone is suggesting the same thing. As a practical matter, it can't happen. Trump would need the armed forces (wo…	1334762396439736320	armed forces happen matter practical roger rt stone suggesting thing trump wo	12
0	user_22	RT @TheLastWord: .@BhadeliaMD, an infectious diseases physician, tells @Lawrence that it's a “good move” to increase public trust for Presi…	1334762525804568576	@bhadeliamd diseases good increase infectious move physician presi public rt tells trust	12
0	user_21	RT @Teri_Kanefield: It's also not possible because the Constitution gives Congress the authority to determine the date of the presidential…	1334763231114633216	authority congress constitution date determine presidential rt	7
0	user_23	RT @NetworksManager: We’re not going to take communism shutting down our businesses, locking us in our home and stealing the presidential e…	1334764198950211584	businesses communism home locking presidential re rt shutting stealing we	10
0	user_24	RT @corybernardi: There has never been a US Presidential election as crooked as this one. The evidence of wrongdoing continues to mount and…	1334764116875956225	and continues crooked election evidence mount one presidential rt wrongdoing	10
2	user_25	RT @AnaCabrera: JUST IN: In a 4-3 decision, the Wisconsin Supreme Court decided it will not hear a lawsuit filed by Trump seeking to remove…	1334766973394116609	court decided decision filed hear in lawsuit remove rt seeking supreme trump wisconsin	13
1	user_26	RT @ReallyAmerican1: David #PerdueSaysBidenWon and has betrayed president Trump. Please don’t retweet this and use the hashtag #PerdueSaysB…	1334767205410504704	betrayed david don hashtag perduesaysb perduesaysbidenwon president retweet rt trump	10
2	user_27	RT @kaitlancollins: Biden says he doesn’t personally care if Trump comes to his inauguration, but he should to showcase a peaceful transfer…	1334767194727534592	biden care doesn inauguration peaceful personally rt showcase transfer trump	10
0	user_26	RT @ReallyAmerican1: We need 2,000 quick retweets and REPLIES to help get #PerdueSaysBidenWon trending so Trump can see these Georgia Repub…	1334767176717254657	000 georgia perduesaysbidenwon quick replies repub retweets rt trending trump	10
